Orgs,Months,Region,Years,Cost
Other,Thriller,West,2019,1
Other,Historical,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Universal Pictures ,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Historical,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,South  ,2019,1
Other,Adventure,South  ,2019,1
Paramount Pictures ,Comedy  ,South  ,2019,1
Warner Bros. Pictures ,Family,South  ,2019,1
Other,Drama  ,West,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Thriller,North  ,2019,1
Warner Bros. Pictures ,Comedy  ,South  ,2019,1
Universal Pictures ,Horror,South  ,2019,1
Other,Thriller,North  ,2019,1
20th Fox,Adventure,South  ,2019,1
Other,Historical,East  ,2019,1
Other,Adventure,West,2019,1
Sony Pictures ,Animation  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Universal Pictures ,Family,South  ,2019,1
Other,Comedy  ,West,2019,1
Other,Romance,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Drama  ,West,2019,1
Other,Animation  ,East  ,2019,1
Other,Horror,East  ,2019,1
Other,Drama  ,East  ,2019,1
Other,Drama  ,East  ,2019,1
Other,Romance,North  ,2019,1
Universal Pictures ,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Walt Disney Studios ,Adventure,South  ,2019,1
Other,Adventure,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Drama  ,North  ,2019,1
Warner Bros. Pictures ,Family,South  ,2019,1
Universal Pictures ,Adventure,South  ,2019,1
Other,Drama  ,South  ,2019,1
Paramount Pictures ,Adventure,South  ,2019,1
Other,Thriller,East  ,2019,1
Universal Pictures ,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Universal Pictures ,Thriller,South  ,2019,1
Other,Musical - Music,West,2019,1
Other,Drama  ,East  ,2019,1
Sony Pictures ,Romance,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Family,North  ,2019,1
Other,Family,North  ,2019,1
Sony Pictures ,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Walt Disney Studios ,Animation  ,South  ,2019,1
Other,Comedy  ,East  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Paramount Pictures ,Horror,South  ,2019,1
Warner Bros. Pictures ,Adventure,South  ,2019,1
Other,Comedy  ,West,2019,1
Other,Adventure,East  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Historical,North  ,2019,1
Other,Musical - Music,North  ,2019,1
Universal Pictures ,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,South  ,2019,1
Universal Pictures ,Comedy  ,South  ,2019,1
Other,Romance,South  ,2019,1
Other,Family,South  ,2019,1
Other,Comedy  ,West,2019,1
Other,Drama  ,East  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Family,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
20th Fox,Drama  ,South  ,2019,1
Walt Disney Studios ,Documentary  ,South  ,2019,1
Warner Bros. Pictures ,Thriller,South  ,2019,1
Other,Romance,West,2019,1
Other,Thriller,East  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Animation  ,North  ,2019,1
Other,Musical - Music,North  ,2019,1
Other,Thriller,West,2019,1
Walt Disney Studios ,Adventure,South  ,2019,1
Sony Pictures ,Historical,North  ,2019,1
Other,Animation  ,North  ,2019,1
Universal Pictures ,Historical,North  ,2019,1
Other,Thriller,North  ,2019,1
Sony Pictures ,Thriller,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Documentary  ,West,2019,1
Other,Romance,West,2019,1
Other,Romance,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Historical,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Historical,South  ,2019,1
Warner Bros. Pictures ,Family,South  ,2019,1
Sony Pictures ,Drama  ,East  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,South  ,2019,1
Warner Bros. Pictures ,Drama  ,South  ,2019,1
Universal Pictures ,Drama  ,South  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Family,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Romance,South  ,2019,1
Other,Drama  ,North  ,2019,1
Sony Pictures ,Thriller,South  ,2019,1
Walt Disney Studios ,Romance,South  ,2019,1
Other,Romance,South  ,2019,1
Other,Adventure,West,2019,1
Other,Thriller,West,2019,1
Other,Drama  ,East  ,2019,1
Other,Thriller,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Paramount Pictures ,Musical - Music,South  ,2019,1
Warner Bros. Pictures ,Adventure,South  ,2019,1
Universal Pictures ,Horror,South  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Sony Pictures ,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Foreign,North  ,2019,1
20th Fox,Adventure,South  ,2019,1
Universal Pictures ,Family,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Thriller,West,2019,1
Other,Drama  ,West,2019,1
Other,Drama  ,East  ,2019,1
Other,Musical - Music,East  ,2019,1
Other,Thriller,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Musical - Music,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Warner Bros. Pictures ,Thriller,South  ,2019,1
Sony Pictures ,Adventure,South  ,2019,1
Universal Pictures ,Horror,South  ,2019,1
Other,Comedy  ,West,2019,1
Other,Drama  ,East  ,2019,1
Other,Adventure,East  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Family,North  ,2019,1
Walt Disney Studios ,Animation  ,South  ,2019,1
Other,Adventure,South  ,2019,1
Other,Horror,South  ,2019,1
Other,Musical - Music,East  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Universal Pictures ,Comedy  ,South  ,2019,1
Warner Bros. Pictures ,Horror,South  ,2019,1
Sony Pictures ,Documentary  ,East  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Family,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Sony Pictures ,Adventure,South  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
20th Fox,Comedy  ,South  ,2019,1
Paramount Pictures ,Thriller,South  ,2019,1
Other,Comedy  ,East  ,2019,1
Other,Thriller,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Horror,North  ,2019,1
Walt Disney Studios ,Animation  ,South  ,2019,1
Sony Pictures ,Documentary  ,East  ,2019,1
Other,Adventure,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Universal Pictures ,Adventure,North  ,2019,1
Sony Pictures ,Historical,South  ,2019,1
Other,Drama  ,East  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,West,2019,1
Other,Documentary  ,East  ,2019,1
Other,Documentary  ,North  ,2019,1
Universal Pictures ,Adventure,South  ,2019,1
Other,Drama  ,West,2019,1
Other,Documentary  ,East  ,2019,1
Other,Family,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Paramount Pictures ,Adventure,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Romance,South  ,2019,1
20th Fox,Drama  ,South  ,2019,1
Other,Historical,South  ,2019,1
Other,Drama  ,North  ,2019,1
Sony Pictures ,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Sony Pictures ,Animation  ,South  ,2019,1
Warner Bros. Pictures ,Musical - Music,South  ,2019,1
Other,Thriller,South  ,2019,1
Universal Pictures ,Comedy  ,South  ,2019,1
Other,Drama  ,South  ,2019,1
Other,Thriller,South  ,2019,1
Other,Adventure,East  ,2019,1
Sony Pictures ,Documentary  ,North  ,2019,1
Universal Pictures ,Historical,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,South  ,2019,1
Sony Pictures ,Drama  ,South  ,2019,1
Other,Adventure,South  ,2019,1
Other,Thriller,South  ,2019,1
Other,Drama  ,South  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,West,2019,1
Other,Animation  ,North  ,2019,1
Other,Thriller,South  ,2019,1
Other,Horror,South  ,2019,1
Other,Thriller,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Warner Bros. Pictures ,Thriller,South  ,2019,1
Other,Family,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Thriller,South  ,2019,1
Other,Drama  ,South  ,2019,1
Other,Comedy  ,West,2019,1
Other,Thriller,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Thriller,South  ,2019,1
20th Fox,Adventure,South  ,2019,1
Other,Thriller,South  ,2019,1
Universal Pictures ,Drama  ,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Comedy  ,West,2019,1
Other,Adventure,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Animation  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
20th Fox,Foreign,North  ,2019,1
Universal Pictures ,Animation  ,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Thriller,West,2019,1
Other,Comedy  ,East  ,2019,1
Other,Adventure,North  ,2019,1
Universal Pictures ,Thriller,North  ,2019,1
Other,Historical,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Other,Historical,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Warner Bros. Pictures ,Drama  ,South  ,2019,1
Other,Drama  ,South  ,2019,1
Other,Thriller,West,2019,1
Other,Adventure,West,2019,1
Other,Adventure,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Historical,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Thriller,North  ,2019,1
Sony Pictures ,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Animation  ,South  ,2019,1
Paramount Pictures ,Adventure,South  ,2019,1
Other,Romance,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Drama  ,West,2019,1
Other,Thriller,West,2019,1
Other,Horror,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Sony Pictures ,Horror,South  ,2019,1
Walt Disney Studios ,Adventure,South  ,2019,1
Other,Thriller,South  ,2019,1
Other,Drama  ,South  ,2019,1
Other,Romance,West,2019,1
Other,Thriller,West,2019,1
Other,Documentary  ,East  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,East  ,2019,1
Other,Comedy  ,West,2019,1
Sony Pictures ,Adventure,South  ,2019,1
Other,Adventure,South  ,2019,1
Other,Thriller,South  ,2019,1
Other,Horror,West,2019,1
Other,Adventure,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Adventure,North  ,2019,1
Warner Bros. Pictures ,Documentary  ,North  ,2019,1
Other,Thriller,North  ,2019,1
20th Fox,Adventure,South  ,2019,1
Other,Animation  ,South  ,2019,1
Warner Bros. Pictures ,Drama  ,South  ,2019,1
Universal Pictures ,Historical,South  ,2019,1
Other,Family,West,2019,1
Other,Drama  ,West,2019,1
Other,Documentary  ,West,2019,1
Other,Drama  ,East  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Comedy  ,North  ,2019,1
Universal Pictures ,Romance,South  ,2019,1
Other,Historical,South  ,2019,1
Paramount Pictures ,Comedy  ,South  ,2019,1
Warner Bros. Pictures ,Horror,South  ,2019,1
Other,Thriller,South  ,2019,1
Other,Animation  ,South  ,2019,1
Other,Romance,West,2019,1
Other,Romance,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Walt Disney Studios ,Adventure,West,2019,1
Walt Disney Studios ,Family,West,2019,1
Walt Disney Studios ,Adventure,West,2019,1
Sony Pictures ,Musical - Music,North  ,2019,1
Warner Bros. Pictures ,Drama  ,South  ,2019,1
Sony Pictures ,Adventure,South  ,2019,1
20th Fox,Historical,South  ,2019,1
Other,Drama  ,South  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Animation  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Family,West,2019,1
Walt Disney Studios ,Animation  ,South  ,2019,1
Sony Pictures ,Historical,South  ,2019,1
Other,Thriller,South  ,2019,1
Other,Thriller,North  ,2019,1
Other,Adventure,North  ,2019,1
Sony Pictures ,Drama  ,North  ,2019,1
Universal Pictures ,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Romance,North  ,2019,1
Other,Thriller,South  ,2019,1
Universal Pictures ,Thriller,South  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Musical - Music,North  ,2019,1
Other,Family,West,2019,1
Warner Bros. Pictures ,Comedy  ,West,2019,1
Other,Family,West,2019,1
Other,Documentary  ,South  ,2019,1
Other,Comedy  ,South  ,2019,1
Other,Historical,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Adventure,North  ,2019,1
Other,Horror,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Adventure,North  ,2019,1
Sony Pictures ,Adventure,South  ,2019,1
Universal Pictures ,Horror,South  ,2019,1
Warner Bros. Pictures ,Historical,South  ,2019,1
Other,Thriller,West,2019,1
Other,Historical,East  ,2019,1
Other,Family,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Thriller,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Documentary  ,North  ,2019,1
Other,Thriller,North  ,2019,1
Universal Pictures ,Musical - Music,South  ,2019,1
Walt Disney Studios ,Adventure,South  ,2019,1
Walt Disney Studios ,Adventure,West,2019,1
Other,Drama  ,North  ,2019,1
20th Fox,Family,South  ,2019,1
Other,Drama  ,South  ,2019,1
Warner Bros. Pictures ,Drama  ,North  ,2019,1
Sony Pictures ,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Drama  ,North  ,2019,1
Other,Musical - Music,North  ,2019,1
Other,Family,West,2020,1
Sony Pictures ,Horror,South  ,2020,1
Other,Horror,North  ,2020,1
Other,Documentary  ,North  ,2020,1
20th Fox,Thriller,South  ,2020,1
Universal Pictures ,Adventure,South  ,2020,1
Paramount Pictures ,Comedy  ,South  ,2020,1
Other,Adventure,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Documentary  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Universal Pictures ,Adventure,South  ,2020,1
Sony Pictures ,Adventure,South  ,2020,1
Other,Thriller,West,2020,1
Other,Thriller,North  ,2020,1
Other,Comedy  ,North  ,2020,1
Other,Adventure,North  ,2020,1
Other,Animation  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,South  ,2020,1
Universal Pictures ,Thriller,South  ,2020,1
Other,Drama  ,South  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Adventure,North  ,2020,1
Other,Horror,North  ,2020,1
Other,Adventure,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Horror,South  ,2020,1
Paramount Pictures ,Thriller,South  ,2020,1
Other,Drama  ,West,2020,1
Sony Pictures ,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Documentary  ,North  ,2020,1
Warner Bros. Pictures ,Adventure,South  ,2020,1
Walt Disney Studios ,Family,West,2020,1
Other,Drama  ,West,2020,1
Other,Adventure,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Romance,North  ,2020,1
Other,Romance,West,2020,1
Other,Musical - Music,North  ,2020,1
Other,Drama  ,South  ,2020,1
Sony Pictures ,Horror,South  ,2020,1
Universal Pictures ,Drama  ,South  ,2020,1
Paramount Pictures ,Adventure,South  ,2020,1
Other,Drama  ,South  ,2020,1
Other,Comedy  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Romance,North  ,2020,1
Other,Romance,North  ,2020,1
Other,Documentary  ,North  ,2020,1
Other,Romance,North  ,2020,1
Universal Pictures ,Drama  ,South  ,2020,1
Walt Disney Studios ,Adventure,South  ,2020,1
Other,Thriller,South  ,2020,1
Other,Drama  ,West,2020,1
Other,Romance,East  ,2020,1
Other,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Romance,North  ,2020,1
Other,Historical,North  ,2020,1
Universal Pictures ,Drama  ,South  ,2020,1
Other,Romance,West,2020,1
Other,Adventure,North  ,2020,1
Other,Adventure,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Comedy  ,North  ,2020,1
Other,Documentary  ,North  ,2020,1
Other,Comedy  ,North  ,2020,1
Warner Bros. Pictures ,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Thriller,North  ,2020,1
Walt Disney Studios ,Animation  ,South  ,2020,1
Other,Thriller,West,2020,1
Other,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Sony Pictures ,Adventure,South  ,2020,1
Universal Pictures ,Drama  ,South  ,2020,1
Other,Drama  ,South  ,2020,1
Walt Disney Studios ,Drama  ,West,2020,1
Other,Drama  ,East  ,2020,1
Other,Drama  ,East  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Comedy  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Documentary  ,North  ,2020,1
Other,Family,North  ,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Horror,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Documentary  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Comedy  ,West,2020,1
Other,Documentary  ,North  ,2020,1
Walt Disney Studios ,Documentary  ,West,2020,1
Walt Disney Studios ,Documentary  ,West,2020,1
Other,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Documentary  ,West,2020,1
Other,Comedy  ,West,2020,1
Other,Historical,West,2020,1
Other,Adventure,North  ,2020,1
Other,Thriller,West,2020,1
Other,Documentary  ,North  ,2020,1
Universal Pictures ,Adventure,West,2020,1
Other,Comedy  ,West,2020,1
Other,Romance,West,2020,1
Other,Horror,West,2020,1
Other,Romance,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Comedy  ,West,2020,1
Other,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Comedy  ,North  ,2020,1
Other,Comedy  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Horror,West,2020,1
Other,Family,West,2020,1
Other,Adventure,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Romance,West,2020,1
Other,Horror,West,2020,1
Other,Drama  ,West,2020,1
Other,Comedy  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Adventure,West,2020,1
Other,Thriller,West,2020,1
Other,Musical - Music,North  ,2020,1
Other,Musical - Music,West,2020,1
Other,Adventure,West,2020,1
Other,Drama  ,West,2020,1
Other,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,North  ,2020,1
Other,Documentary  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Other,Horror,West,2020,1
Other,Horror,West,2020,1
Other,Drama  ,West,2020,1
Other,Comedy  ,West,2020,1
Warner Bros. Pictures ,Comedy  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Thriller,North  ,2020,1
Other,Thriller,North  ,2020,1
Paramount Pictures ,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Comedy  ,West,2020,1
Other,Thriller,West,2020,1
Other,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Documentary  ,West,2020,1
Other,Comedy  ,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Thriller,North  ,2020,1
Universal Pictures ,Musical - Music,West,2020,1
Other,Horror,West,2020,1
Other,Drama  ,West,2020,1
Other,Adventure,West,2020,1
Other,Drama  ,North  ,2020,1
Other,Drama  ,West,2020,1
Other,Adventure,West,2020,1
Other,Comedy  ,West,2020,1
Other,Drama  ,West,2020,1
Other,Historical,West,2020,1
Other,Drama  ,West,2020,1
Other,Thriller,North  ,2020,1
Other,Drama  ,North  ,2020,1
Other,Horror,West,2020,1
Other,Comedy  ,West,2020,1
Other,Horror,West,2020,1
Other,Documentary  ,West,2020,1
Other,Documentary  ,West,2020,1
Universal Pictures ,Comedy  ,West,2020,1
Other,Drama  ,West,2020,1
Walt Disney Studios ,Adventure,West,2020,1
Other,Thriller,West,2020,1
Other,Drama  ,West,2020,1
Other,Drama  ,North  ,2020,1
Other,Comedy  ,West,2020,1
Other,Horror,West,2020,1
Other,Drama  ,North  ,2020,1
Universal Pictures ,Horror,West,2020,1
